On the 0th level of the search tree
- Adding the 25 feature with accuracy: 0.7742
- Adding the 26 feature with accuracy: 0.7758
- Adding the 27 feature with accuracy: 0.7708
- Adding the 28 feature with accuracy: 0.7722
- Adding the 29 feature with accuracy: 0.772
- Adding the 30 feature with accuracy: 0.7726
- Adding the 31 feature with accuracy: 0.777
- Adding the 32 feature with accuracy: 0.7692
- Adding the 34 feature with accuracy: 0.7676
- Adding the 35 feature with accuracy: 0.7698
- Adding the 36 feature with accuracy: 0.771
- Adding the 37 feature with accuracy: 0.7744
- Adding the 38 feature with accuracy: 0.7688
- Adding the 40 feature with accuracy: 0.7714
- Adding the 41 feature with accuracy: 0.7668
- Adding the 42 feature with accuracy: 0.7706
- Adding the 44 feature with accuracy: 0.7724
- Adding the 45 feature with accuracy: 0.7728
- Adding the 47 feature with accuracy: 0.766
- Adding the 48 feature with accuracy: 0.767
- Adding the 49 feature with accuracy: 0.7762
- Adding the 50 feature with accuracy: 0.7754

**Warning, Accuracy has decreased! Continuing search in case of local maxima**

On level 11, added feature 2 to current set. With current features: [9, 3, 45, 17, 0, 7, 21, 32, 42, 16, 38, 2] and local maximum accuracy 0.778

On the 12th level of the search tree
- Adding the 2 feature with accuracy: 0.7646
- Adding the 5 feature with accuracy: 0.7528
- Adding the 6 feature with accuracy: 0.7542
- Adding the 7 feature with accuracy: 0.7608
- Adding the 9 feature with accuracy: 0.7662
- Adding the 11 feature with accuracy: 0.765
- Adding the 12 feature with accuracy: 0.7522
- Adding the 13 feature with accuracy: 0.7562
- Adding the 14 feature with accuracy: 0.765
- Adding the 15 feature with accuracy: 0.7542
- Adding the 16 feature with accuracy: 0.756
- Adding the 19 feature with accuracy: 0.7602
- Adding the 20 feature with accuracy: 0.752
- Adding the 21 feature with accuracy: 0.759
- Adding the 23 feature with accuracy: 0.7612
- Adding the 24 feature with accuracy: 0.7738
- Adding the 25 feature with accuracy: 0.7614
- Adding the 26 feature with accuracy: 0.756
- Adding the 27 feature with accuracy: 0.7512
- Adding the 28 feature with accuracy: 0.7612
- Adding the 29 feature with accuracy: 0.7602
- Adding the 30 feature with accuracy: 0.7582
- Adding the 31 feature with accuracy: 0.76
- Adding the 32 feature with accuracy: 0.757
- Adding the 34 feature with accuracy: 0.7642
- Adding the 35 feature with accuracy: 0.7594
- Adding the 36 feature with accuracy: 0.76
- Adding the 37 feature with accuracy: 0.7636
- Adding the 38 feature with accuracy: 0.7584
- Adding the 40 feature with accuracy: 0.7512
- Adding the 41 feature with accuracy: 0.7526
- Adding the 42 feature with accuracy: 0.7692
- Adding the 44 feature with accuracy: 0.7596
- Adding the 45 feature with accuracy: 0.7522
- Adding the 47 feature with accuracy: 0.7552
- Adding the 48 feature with accuracy: 0.7502
- Adding the 49 feature with accuracy: 0.7578
- Adding the 50 feature with accuracy: 0.764

**Warning, Accuracy has decreased! Continuing search in case of local maxima**

On level 12, added feature 23 to current set. With current features: [9, 3, 45, 17, 0, 7, 21, 32, 42, 16, 38, 2, 23] and local maximum accuracy 0.7738

On the 13th level of the search tree
- Adding the 2 feature with accuracy: 0.755
- Adding the 5 feature with accuracy: 0.7528
- Adding the 6 feature with accuracy: 0.7514
- Adding the 7 feature with accuracy: 0.7512
- Adding the 9 feature with accuracy: 0.7542
- Adding the 11 feature with accuracy: 0.761
- Adding the 12 feature with accuracy: 0.7498
- Adding the 13 feature with accuracy: 0.7578
- Adding the 14 feature with accuracy: 0.7542
- Adding the 15 feature with accuracy: 0.7526
- Adding the 16 feature with accuracy: 0.7602
